Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
12/14/2013 18:46:52,164,,Review of other research,China-Today Forum,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,"Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,"Current classroom teacher, Other K-12 teachers",Does not address benefits or concerns,,,N/A,,No
2/21/2014 9:49:00,164,,Review of other research,China Today Forums,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,None or unclear,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,not clear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers",Raises concerns,,,N/A [documents],,No
12/14/2013 18:54:45,165,,Review of other research,Journal of Schooling Studies,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,Equity,Not defined,Not defined,,Unclear,,,,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,,N/A,The private tutoring institutions can promote the development of education equity,No
2/21/2014 11:18:00,165,,Review of other research,Journal of Schooling Studies,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,None or unclear,None or Unclear to us,Equity,Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)",Both,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers",Raises concerns,,,N/A [documents],"educational resource distribution, students receive equal quality of education",No
12/14/2013 19:01:55,166,,Review of other research,Jiangsu Education Research,2013,Chinese,USA,U.S. & Canada,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Not defined,Not defined,"No, they do not charge a fee",Unclear,,Student falls behind and needs extra help (Remediation),,Xia Zhao,Journal Article,Community member / volunteer,Does not address benefits or concerns,,,N/A,,No
2/21/2014 8:46:41,166,,Review of other research,Jiangsu Education Research,2013,Chinese,United States,U.S. & Canada,"Primary, Secondary",Single-country / case,None or unclear,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"No, they do not charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,Community member / volunteer,Discusses benefits,,,Teachers who tutor,,No
12/14/2013 19:19:15,167,,Original empirical research,Guide of Science and Education ,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Both,Not defined,"Yes, they charge a fee",Unclear,,"Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,Survey conducted by the author,Students,,Yes
2/21/2014 8:39:54,167,,Original empirical research,Guide of Science and Education,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Both,Not defined,"Yes, they charge a fee",Unclear,not clear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,Not defined,Raises concerns,,160 primary school students and 240 secondary school students from Xian. ,"Parents / household, Students",,Yes
12/14/2013 19:42:18,168,,Policy analysis,Shanghai Research on Education,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Both,Not defined,Not defined,Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,,N/A,,No
2/7/2014 7:03:39,168,,Review of other research,Shanghai Research on Education,2013,Chinese,Taiwan,East Asia,"Primary, Secondary",Single-country / case,None or unclear,Political Theory,Related to curriculum coverage / ed. quality / exam prep,Both,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)",Both,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, To provide extra enrichment activities (sports or arts)",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor",Addresses both benefits and concerns,,,N/A [documents],,No
12/14/2013 19:46:59,169,,Review of other research,Career Horizen,2012,Chinese,China,East Asia,Primary,Single-country / case,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Both,Not defined,"Yes, they charge a fee",Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Journal Article,Not defined,Raises concerns,,,N/A,,No
2/7/2014 7:45:23,169,,Review of other research,Career Horizon,2012,Chinese,China,East Asia,Primary,Single-country / case,None or unclear,Human Rights,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)",Not defined,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, To provide extra enrichment activities (sports or arts)",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, Institution / Professional tutor",Raises concerns,,,N/A [documents],,No
12/14/2013 19:53:25,170,,Original empirical research,Shenzhou Education,2013,Chinese,China,East Asia,Primary,Single-country / case,Quantitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Both,Not defined,,Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Peer pressure",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,survey conducted by the author,"Parents / household, Students",,Yes
2/7/2014 7:39:54,170,,Review of other research,Shenzhou Education,2013,Chinese,China,East Asia,Primary,Single-country / case,Quantitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Peer pressure, Teacher pressure",,Xiaoran Yu,Journal Article,Not defined,Addresses both benefits and concerns,,"101 sixth-grade students in a primary school located in Hexi district, Tianjin.",Students,,Yes
12/14/2013 19:59:49,171,,Review of other research,Jiannan Literature,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,Equity,Subjects taught in school,Not defined,,Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Raises concerns,,,N/A,"private tutoring leads to social inequity, which include the educational chance etc. ",No
2/7/2014 8:13:15,171,,Review of other research,Jiannan Literature,2013,Chinese,,"East Asia, Western Europe, North Europe","Primary, Secondary",Comparative,None or unclear,Political Theory,Equity,Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher",Raises concerns,,,N/A [documents],"unequal access and outcomes, racial inequity, psychological inequity, gender inequity, influence on public school system",No
12/14/2013 20:06:54,172,,Review of other research,Journal of Weifang University,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,Preparation for exams to make student more competitive,,Xia Zhao,Journal Article,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor, College student",Addresses both benefits and concerns,,,N/A,,No
2/21/2014 8:28:10,172,,Review of other research,Journal of Weifang University,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,None or unclear,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,not discussed,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, College student",Addresses both benefits and concerns,,,"Teachers who tutor, Students",,No
12/14/2013 20:32:35,173,,Original empirical research,Journal of Hubei University of Education,2013,Chinese,China,East Asia,Primary,Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Unclear,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Raises concerns,,survey conducted by the author,"Teachers who tutor, Parents / household, Students",,Yes
2/21/2014 8:33:55,173,,Original empirical research,Journal of Hubei University of Educaiton,2013,Chinese,China,East Asia,Primary,Single-country / case,Quantitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Both,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, Institution / Professional tutor, College student",Addresses both benefits and concerns,,237 2-6 grade students from a Zhejiang urban primary school. 258 questionnaire were distributed. The number of vaid questionnaire was 237.,"Teachers who tutor, Tutors who are not teachers, Parents / household, Students",,Yes
12/15/2013 0:42:59,174,,Original empirical research,Master's Thesis of Yanbian University ,2013,Chinese,China,East Asia,Secondary,Single-country / case,Mixed-methods,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"Designated tutoring center or franchise, In the student's home","Yes, they charge a fee",Various class sizes discussed,,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Peer pressure",,Xia Zhao,Master's Thesis,"Other K-12 teachers, Institution / Professional tutor, College student",Does not address benefits or concerns,,survey conducted by the author,"Parents / household, Students",,Yes
12/15/2013 1:01:23,175,,Original empirical research,Master's Thesis of Anhui University ,2012,Chinese,China,East Asia,Secondary,,Mixed-methods,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Not defined,Not defined,"Yes, they charge a fee",Unclear,,Preparation for exams to make student more competitive,,Xia Zhao,Master's Thesis,Not defined,Addresses both benefits and concerns,,Survey conducted by the author,Students,,Yes
12/15/2013 10:45:00,176,,Policy analysis,Master's Thesis of Jilin University ,2012,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Both,Designated tutoring center or franchise,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Peer pressure",,Xia Zhao,Master's Thesis,"Other K-12 teachers, Institution / Professional tutor, College student",Raises concerns,,,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students, Policymakers",students in rural areas cannot have the same educational chance as urban students in private tutoring.,No
12/15/2013 11:08:41,177,,Original empirical research,Master's Thesis of Hunan Normal University ,2012,Chinese,China,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Master's Thesis,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor, College student",Does not address benefits or concerns,,survey conducted by the author ,Parents / household,,Yes
12/15/2013 12:03:59,178,,Original empirical research,Master's Thesis of Hubei University ,2012,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity",Both,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Peer pressure",,Xia Zhao,Master's Thesis,Not defined,Addresses both benefits and concerns,,,"Teachers who tutor, Tutors who are not teachers, Parents / household, Students",students in urban areas have more chance to have private tutoring. ,No
12/15/2013 12:20:06,179,,Original empirical research,Master's Thesis of Hunan Normal University ,2013,Chinese,China,East Asia,Primary,Single-country / case,Mixed-methods,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Unclear,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Teacher pressure",,Xia Zhao,Master's Thesis,Not defined,Raises concerns,,survey conducted by the author,"Teachers who tutor, Parents / household, Students",,Yes
12/15/2013 12:32:43,180,,Original empirical research,Master's Thesis of East China Normal University,2013,Chinese,,East Asia,"Primary, Secondary",Comparative,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Global Trend, Household Expenditures",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Teacher pressure",,Xia Zhao,Master's Thesis,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor, College student",Addresses both benefits and concerns,,,"Teachers who tutor, Tutors who are not teachers, Parents / household, Students, Policymakers","private tutoring can expand the education inequity because students from lower class, from rural areas cannot get the same educational chance as students in higher class and urban areas.",No
12/15/2013 12:47:20,181,,Policy analysis,Master's Thesis of Chongqing Normal University,2012,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,Preparation for exams to make student more competitive,,Xia Zhao,Master's Thesis,Not defined,Raises concerns,,,N/A,,No
2/3/2014 9:48:04,182,,Original empirical research,Journal of Changzhou College of Education   ,1999,Chinese,China,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,Preparation for exams to make student more competitive,,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,Survey conducted by the author,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students",,Yes
2/3/2014 10:13:30,183,,Review of other research,,2012,Chinese,,"East Asia, Eastern Europe",not clear,Comparative,None or unclear,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Global Trend",Subjects taught in school,Not defined,Not defined,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, College student",Addresses both benefits and concerns,,,N/A [documents],,No
2/7/2014 6:54:13,183,,Review of other research,Elementary and Secondary Schooling Abroad,2012,Chinese,"Albania, Georgia, Lithuania","East Asia, Eastern Europe","Primary, Secondary",Comparative,None or unclear,Human Capital,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Global Trend",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, College student",Addresses both benefits and concerns,,,N/A [documents],,No
2/3/2014 10:24:10,184,,Review of other research,Journal of Hangzhou College of Education   ,1997,Chinese,China,East Asia,,Single-country / case,None or unclear,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Both,Not defined,Not defined,Unclear,,"Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,"Current classroom teacher, Other K-12 teachers",Raises concerns,,,N/A [documents],,No
2/3/2014 11:44:24,185,,Review of other research, Comparative Education Review,2012,Chinese,,Global / Worldwide,,Comparative,None or unclear,Neoliberalism,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,,Not stated or unclear,,Xia Zhao,Journal Article,"Current classroom teacher, Other K-12 teachers, Institution / Professional tutor, College student",Addresses both benefits and concerns,,,N/A [documents],use neoliberalism to explain education equity. Parents have right to choose their children's education.,No
2/3/2014 11:54:52,186,,Review of other research,Oriental Enterprise Culture,2013,Chinese,China,East Asia,"Pre-primary, Primary, Secondary",Single-country / case,None or unclear,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Both,Not defined,Not defined,Unclear,,"Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,,N/A [documents],,No
2/3/2014 12:09:05,187,,Original empirical research,Master's Thesis of Nanjing Normal University ,2013,Chinese,,East Asia,,Comparative,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Global Trend, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Master's Thesis,"Current classroom teacher, Other K-12 teachers, Retired teacher, Institution / Professional tutor, College student",Addresses both benefits and concerns,,"interview freshmen in college, which include Chinese students and Korea students",Students,unfair to students from poor family,Yes
2/6/2014 9:09:05,188,,Original empirical research,Master's Thesis of Central China Normal University ,2008,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Mixed-methods,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, Peer pressure",,Xia Zhao,Master's Thesis,Not defined,Does not address benefits or concerns,,survey conducted by the author ,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students","The chance to have private tutoring is not the same because of the SES, parents education background. It is unfair to students who do not join in private tutoirng at school.",Yes
5/20/2014 17:16:19,213,,Original empirical research,International Perspectives on Education and Society,2013,English,Japan,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear to us,Supply & Demand / Economic Efficiency,Both,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, To provide extra enrichment activities (sports or arts)",,Hang Duong,Journal Article,Not defined,Addresses both benefits and concerns,,,primary observation data,,No
2/13/2014 1:09:19,100e,,Original empirical research,"University of Pittsburgh, School of Education",2007,English,Romania,Eastern Europe,Secondary,Single-country / case,Qualitative,"Teacher professionalism; research highlighting the phenomenon of private tutoring, a “background” practice, which has grown into a parallel system of education in many countries","Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Social Cohesion, Global Trend, Household Expenditures",Subjects taught in school,"Other outside school (e.g. teacher's home, coffee shop, library)",Both,Various class sizes discussed,Individual operator,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Damian Wyman,Dissertation,"Current classroom teacher, Other K-12 teachers, Retired teacher",Addresses both benefits and concerns,,,"Teachers who do not tutor, Teachers who tutor, N/A [documents]","Lower socioeconomic classes can't afford the private tutoring, leading to inequity of opportunity compared to wealthier students.",No
2/8/2014 8:00:08,101e,,secondary analysis of primary information,Munich Personal RePEc Archive,2011,English,Sri Lanka,South Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Global Trend, Household Expenditures",Subjects taught in school,"In the student's home, Other outside school (e.g. teacher's home, coffee shop, library), Not defined","Yes, they charge a fee",Various class sizes discussed,Individual operator,Preparation for exams to make student more competitive,,Hang Duong,Report,"Current classroom teacher, Other K-12 teachers, Retired teacher, Institution / Professional tutor",Raises concerns,,"2 national wide household survey data, in 1995/96 and 2006/07",Parents / household,"""The private tuition classes may increase the social inequalities (income gap, race gap, ethnicity gap...) and damage the purpose of free education policy"" (p.20)",Yes
2/19/2014 22:19:59,102e,,Review of other research,Procedia-Social and Behavioral Sciences,2013,English,,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Global Trend, Household Expenditures",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Peer pressure, Teacher pressure, Other government to compete internationally",,Peggy,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student",Addresses both benefits and concerns,,,N/A [documents],"""High-income families can afford greater quantities and better qualities of tutoring than middle-income and low-income families."" p.416 ",No
2/11/2014 5:33:41,103e,,Review of other research,Oxford Review of Education,2013,English,,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Global Trend, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Damian Wyman,Journal Article,"Current classroom teacher, Other K-12 teachers, University faculty, Institution / Professional tutor, College student",Addresses both benefits and concerns,Those who can't afford it don't have the same opportunity-human rights and social justice issues,,N/A [documents],"""Shadow education, if left to market forces, is likely to perpetuate and increase social inequalities since higher-income households are able more easily than lower-income households to afford both superior quality and greater amounts of private tutoring. This pattern also of course applies in regular schooling: rich families can send their children to types of private schools that are out of reach for poor families. However, as shadow education has expanded, middle-income and low-income families have found themselves forced to invest in private tutoring alongside public provision that is supposedly egalitarian."" p.489",No
2/15/2014 16:52:13,104e,,secondary analysis of primary information,Annual meeting of the Canada Economic Association,2009,English,Egypt,Middle East & North Africa,Secondary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Not defined,Not defined,Not defined,Unclear,,Not stated or unclear,,Hang Duong,Report,Not defined,Does not address benefits or concerns,,the Egypt Labor Market Survey (ELMS 98) and the Egypt Labor Market Panel Survey (ELMPS 06),primary dataset,"""tutoring may also have important equity  implications, as it may be more affordable to children belonging to richer households. Moreover,  for poor households that are already resource-constrained, tutoring can affect the enrollment and  dropout decisions of their children given that it represents a substantial education cost"" p.4",Yes
2/11/2014 6:21:02,105e,,Review of other research,Frontiers of Education in China,2011,English,China,East Asia,"Primary, Secondary",Single-country / case,Quantitative,Game Theory and Nash equilibrium,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Unclear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Damian Wyman,Journal Article,Not defined,Addresses both benefits and concerns,,,N/A [documents],"""tutoring may also cause unfair distribution of educational opportunity between students in different economic situations"" p.280",No
2/19/2014 23:33:35,106e,,Original empirical research,Asia Pacific Education Review ,2013,English,Hong Kong,East Asia,"Primary, Secondary, Tertiary",Single-country / case,Mixed-methods,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, Peer pressure",,Peggy,Journal Article,Institution / Professional tutor,Discusses benefits,,"1,624 secondary students, 967 Grade 9 and 657 Grade 12

101 interviews
",Students,,Yes
2/11/2014 7:20:05,107e,,Original empirical research,Economics of Education Review,2013,English,China,East Asia,"Pre-primary, Primary, Secondary",Single-country / case,Quantitative,the education production function,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Global Trend, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, To provide extra enrichment activities (sports or arts), Peer pressure, Teacher pressure",,Damian Wyman,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student, Peer/classmate",Addresses both benefits and concerns,,,Students,,No
2/7/2014 17:38:46,108e,,Original empirical research,BRAC Center,2007,English,Bangladesh,South Asia,"Pre-primary, Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures, Supply & Demand / Economic Efficiency, global trend",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)",Both,Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Student falls behind and needs extra help (Remediation), Make up for perceived failure in the mainstream system / school, ""The parents are unable to help their children’s study""",,Hang Duong,Report,"Current classroom teacher, Other K-12 teachers, University faculty, Institution / Professional tutor, Peer/classmate, Parent or family member, Community member / volunteer",Addresses both benefits and concerns,,survey conducted by author,"Parents / household, Students","""Without aiming an equitable society to a large extent where education provisions have strong role in its construction and changing social, political and educational policies in the same direction, one cannot equally reach the benefit of education provision to all"" (p.16)
students of better schools, well-performing students, children of educated parents and well-off families make use of tutoring; this results in inequities in school performance and job market",Yes
